PassengerId,Survived,Pclass,LastName,Title,Sex,Age,SibSp,Parch,Fare,Embarked,TicketNumber,OtherName
72,0,3,58,3,2,16,5,2,46.9,1,2144,0
73,0,2,69,1,1,21,0,0,73.5,1,14879,0
74,0,3,70,1,1,26,1,0,14.4542,2,2680,0
75,1,3,71,1,1,32,0,0,56.4958,1,1601,0
76,0,3,72,1,1,25,0,0,7.65,1,348123,0
77,0,3,73,1,1,28.425581395348836,0,0,7.8958,1,349208,0
78,0,3,74,1,1,28.425581395348836,0,0,8.05,1,374746,0
79,1,2,75,4,1,0.83,0,2,29,1,248738,0
80,1,3,76,3,2,30,0,0,12.475,1,364516,0
81,0,3,77,1,1,22,0,0,9,1,345767,0
82,1,3,78,1,1,29,0,0,9.5,1,345779,0
83,1,3,79,3,2,23.157894736842106,0,0,7.7875,3,330932,0
84,0,1,80,1,1,28,0,0,47.1,1,113059,0
85,1,2,81,3,2,17,0,0,10.5,1,14885,0
86,1,3,82,2,2,33,3,0,15.85,1,3101278,1
87,0,3,83,1,1,16,1,3,34.375,1,6608,0
88,0,3,84,1,1,28.425581395348836,0,0,8.05,1,392086,0
89,1,1,27,3,2,23,3,2,263,1,19950,0
90,0,3,85,1,1,24,0,0,8.05,1,343275,0
91,0,3,86,1,1,29,0,0,8.05,1,343276,0
92,0,3,87,1,1,20,0,0,7.8542,1,347466,0
93,0,1,88,1,1,46,1,0,61.175,1,5734,0
94,0,3,89,1,1,26,1,2,20.575,1,2315,0
95,0,3,90,1,1,59,0,0,7.25,1,364500,0
96,0,3,91,1,1,28.425581395348836,0,0,8.05,1,374910,0
97,0,1,92,1,1,71,0,0,34.6542,2,17754,0
98,1,1,93,1,1,23,0,1,63.3583,2,17759,0
99,1,2,94,2,2,34,0,1,23,1,231919,1
100,0,2,95,1,1,34,1,0,26,1,244367,0
101,0,3,96,3,2,28,0,0,7.8958,1,349245,0
102,0,3,97,1,1,28.425581395348836,0,0,7.8958,1,349215,1
103,0,1,98,1,1,21,0,1,77.2875,1,35281,0
104,0,3,99,1,1,33,0,0,8.6542,1,7540,0
105,0,3,100,1,1,37,2,0,7.925,1,3101276,0
106,0,3,101,1,1,28,0,0,7.8958,1,349207,0
107,1,3,102,3,2,21,0,0,7.65,1,343120,0
108,1,3,103,1,1,28.425581395348836,0,0,7.775,1,312991,0
109,0,3,104,1,1,38,0,0,7.8958,1,349249,0
110,1,3,6,3,2,23.157894736842106,1,0,24.15,3,371110,0
111,0,1,105,1,1,47,0,0,52,1,110465,0
112,0,3,106,3,2,14.5,1,0,14.4542,2,2665,0
113,0,3,107,1,1,22,0,0,8.05,1,324669,0
114,0,3,108,3,2,20,1,0,9.825,1,4136,0
115,0,3,109,3,2,17,0,0,14.4583,2,2627,0
116,0,3,110,1,1,21,0,0,7.925,1,23101294,0
117,0,3,111,1,1,70.5,0,0,7.75,3,370369,0
118,0,2,40,1,1,29,1,0,21,1,11668,0
119,0,1,112,1,1,24,0,1,247.5208,2,17558,0
120,0,3,14,3,2,2,4,2,31.275,1,347082,0
121,0,2,113,1,1,21,2,0,73.5,1,14879,0
122,0,3,114,1,1,28.425581395348836,0,0,8.05,1,454510,0
123,0,2,10,1,1,32.5,1,0,30.0708,2,237736,0
124,1,2,115,3,2,32.5,0,0,13,1,27267,0
125,0,1,98,1,1,54,0,1,77.2875,1,35281,0
126,1,3,38,4,1,12,1,0,11.2417,2,2651,0
127,0,3,116,1,1,32.7,0,0,7.75,3,370372,0
128,1,3,117,1,1,24,0,0,7.1417,1,17369,0
129,1,3,118,3,2,9,1,1,22.3583,2,2668,0
130,0,3,119,1,1,45,0,0,6.975,1,347061,0
131,0,3,120,1,1,33,0,0,7.8958,2,349241,0
132,0,3,121,1,1,20,0,0,7.05,1,3101307,0
133,0,3,122,2,2,47,1,0,14.5,1,53337,1
134,1,2,123,2,2,29,1,0,26,1,228414,1
135,0,2,124,1,1,25,0,0,13,1,29178,0
136,0,2,125,1,1,23,0,0,15.0458,2,2133,0
137,1,1,126,3,2,19,0,2,26.2833,1,11752,0
138,0,1,4,1,1,37,1,0,53.1,1,113803,0
139,0,3,127,1,1,16,0,0,9.2167,1,7534,0
140,0,1,128,1,1,24,0,0,79.2,2,17593,0
141,0,3,129,2,2,29,0,2,15.2458,2,2678,1
142,1,3,130,3,2,22,0,0,7.75,1,347081,0
143,1,3,131,2,2,24,1,0,15.85,1,23101279,1
144,0,3,132,1,1,19,0,0,6.75,3,365222,0
145,0,2,133,1,1,18,0,0,11.5,1,231945,0
146,0,2,134,1,1,19,1,1,36.75,1,33112,0
147,1,3,14,1,1,27,0,0,7.7958,1,350043,1
148,0,3,83,3,2,9,2,2,34.375,1,6608,0
149,0,2,135,1,1,36.5,0,2,26,1,230080,1
150,0,2,136,6,1,42,0,0,13,1,244310,0
151,0,2,137,6,1,51,0,0,12.525,1,1166,0
152,1,1,138,2,2,22,1,0,66.6,1,113776,1
153,0,3,139,1,1,55.5,0,0,8.05,1,511206,0
154,0,3,140,1,1,40.5,0,2,14.5,1,5851,0
155,0,3,141,1,1,28.425581395348836,0,0,7.3125,1,265302,0
156,0,1,18,1,1,51,0,1,61.3792,2,17597,0
157,1,3,142,3,2,16,0,0,7.7333,3,35851,0
158,0,3,143,1,1,30,0,0,8.05,1,392090,0
159,0,3,144,1,1,28.425581395348836,0,0,8.6625,1,315037,0
160,0,3,145,4,1,14.5,8,2,69.55,1,2343,0
161,0,3,146,1,1,44,0,1,16.1,1,371362,0
162,1,2,147,2,2,40,0,0,15.75,1,33595,1
163,0,3,148,1,1,26,0,0,7.775,1,347068,0
164,0,3,149,1,1,17,0,0,8.6625,1,315093,0
165,0,3,49,4,1,1,4,1,39.6875,1,3101295,0
166,1,3,150,4,1,9,0,2,20.525,1,363291,0
167,1,1,151,2,2,50.666666666666664,0,1,55,1,113505,1
168,0,3,62,2,2,45,1,4,27.9,1,347088,1
169,0,1,152,1,1,43.84375,0,0,25.925,1,17318,0
170,0,3,153,1,1,28,0,0,56.4958,1,1601,0
171,0,1,154,1,1,61,0,0,33.5,1,111240,0
172,0,3,17,4,1,4,4,1,29.125,3,382652,0
173,1,3,9,3,2,1,1,1,11.1333,1,347742,0
174,0,3,155,1,1,21,0,0,7.925,1,23101280,0
175,0,1,156,1,1,56,0,0,30.6958,2,17764,0
176,0,3,157,1,1,18,1,1,7.8542,1,350404,0
177,0,3,158,4,1,4,3,1,25.4667,1,4133,0
178,0,1,159,3,2,50,0,0,28.7125,2,17595,0
179,0,2,160,1,1,30,0,0,13,1,250653,0
180,0,3,161,1,1,36,0,0,0,1,0,0
181,0,3,145,3,2,9.961176470588235,8,2,69.55,1,2343,0
182,0,2,162,1,1,29.428571428571427,0,0,15.05,2,2131,0
183,0,3,25,4,1,9,4,2,31.3875,1,347077,0
184,1,2,163,4,1,1,2,1,39,1,230136,0
185,1,3,164,3,2,4,0,2,22.025,1,315153,0
186,0,1,165,1,1,43.84375,0,0,50,1,113767,0
187,1,3,166,2,2,35.5,1,0,15.5,3,370365,1
188,1,1,167,1,1,45,0,0,26.55,1,111428,1
189,0,3,168,1,1,40,1,1,15.5,3,364849,0
190,0,3,169,1,1,36,0,0,7.8958,1,349247,0
191,1,2,170,2,2,32,0,0,13,1,234604,1
192,0,2,171,1,1,19,0,0,13,1,28424,0
193,1,3,172,3,2,19,1,0,7.8542,1,350046,0
194,1,2,135,4,1,3,1,1,26,1,230080,0
195,1,1,173,2,2,44,0,0,27.7208,2,17610,1
196,1,1,174,3,2,58,0,0,146.5208,2,17569,0
197,0,3,175,1,1,32.7,0,0,7.75,3,368703,0
198,0,3,141,1,1,42,0,1,8.4042,1,4579,0
199,1,3,176,3,2,23.157894736842106,0,0,7.75,3,370370,0
200,0,2,177,3,2,24,0,0,13,1,248747,1
201,0,3,178,1,1,28,0,0,9.5,1,345770,0
202,0,3,145,1,1,24.9,8,2,69.55,1,2343,0
203,0,3,179,1,1,34,0,0,6.4958,1,3101264,0
204,0,3,180,1,1,45.5,0,0,7.225,2,2628,0
205,1,3,181,1,1,18,0,0,8.05,1,53540,0
206,0,3,182,3,2,2,0,1,10.4625,1,347054,0
207,0,3,82,1,1,32,1,0,15.85,1,3101278,0
208,1,3,183,1,1,26,0,0,18.7875,2,2699,0
209,1,3,184,3,2,16,0,0,7.75,3,367231,0
210,1,1,185,1,1,40,0,0,31,2,112277,0
211,0,3,186,1,1,24,0,0,7.05,1,3101311,0
212,1,2,187,3,2,35,0,0,21,1,13528,0
213,0,3,188,1,1,22,0,0,7.25,1,521174,0
214,0,2,189,1,1,30,0,0,13,1,250646,0
215,0,3,190,1,1,32.7,1,0,7.75,3,367229,0
216,1,1,191,3,2,31,1,0,113.275,2,35273,0
217,1,3,192,3,2,27,0,0,7.925,1,23101283,0
218,0,2,193,1,1,42,1,0,27,1,243847,0
219,1,1,194,3,2,32,0,0,76.2917,2,11813,0
220,0,2,61,1,1,30,0,0,10.5,1,14208,0
221,1,3,195,1,1,16,0,0,8.05,1,392089,0
222,0,2,196,1,1,27,0,0,13,1,220367,0
223,0,3,197,1,1,51,0,0,8.05,1,21440,0
224,0,3,198,1,1,28.425581395348836,0,0,7.8958,1,349234,0
225,1,1,199,1,1,38,1,0,90,1,19943,0
226,0,3,200,1,1,22,0,0,9.35,1,4348,0
227,1,2,201,1,1,19,0,0,10.5,1,751,0
228,0,3,202,1,1,20.5,0,0,7.25,1,521173,1
229,0,2,203,1,1,18,0,0,13,1,236171,0
230,0,3,158,3,2,5.5,3,1,25.4667,1,4133,0
231,1,1,61,2,2,35,1,0,83.475,1,36973,1
232,0,3,204,1,1,29,0,0,7.775,1,347067,0
233,0,2,205,1,1,59,0,0,13.5,1,237442,0
234,1,3,25,3,2,5,4,2,31.3875,1,347077,0
235,0,2,206,1,1,24,0,0,10.5,1,29566,0
236,0,3,207,3,2,23.2972972972973,0,0,7.55,1,6609,0
237,0,2,208,1,1,44,1,0,26,1,26707,0
238,1,2,209,3,2,8,0,2,26.25,1,31921,0
239,0,2,210,1,1,19,0,0,10.5,1,28665,0
240,0,2,211,1,1,33,0,0,12.275,1,1585,0
241,0,3,106,3,2,14.25,1,0,14.4542,2,2665,0
242,1,3,212,3,2,23.157894736842106,1,0,15.5,3,367230,0
243,0,2,213,1,1,29,0,0,10.5,1,14263,0
244,0,3,214,1,1,22,0,0,7.125,1,23101275,0
245,0,3,109,1,1,30,0,0,7.225,2,2694,0
246,0,1,215,7,1,44,2,0,90,3,19928,0
247,0,3,216,3,2,25,0,0,7.775,1,347071,0
248,1,2,217,2,2,24,0,2,14.5,1,250649,1
249,1,1,218,1,1,37,1,1,52.5542,1,11751,0
250,0,2,219,6,1,54,1,0,26,1,244252,0
251,0,3,220,1,1,28.425581395348836,0,0,7.25,1,362316,0
252,0,3,182,2,2,29,1,1,10.4625,1,347054,1
253,0,1,221,1,1,62,0,0,26.55,1,113514,0
254,0,3,222,1,1,30,1,0,16.1,1,53336,0
255,0,3,223,2,2,41,0,2,20.2125,1,370129,1
256,1,3,224,2,2,29,0,2,15.2458,2,2650,1
257,1,1,225,2,2,53.4,0,0,79.2,2,17585,0
258,1,1,226,3,2,30,0,0,86.5,1,110152,0
259,1,1,227,3,2,35,0,0,512.3292,2,17755,0
260,1,2,228,2,2,50,0,1,26,1,230433,1
261,0,3,156,1,1,32.7,0,0,7.75,3,384461,0
262,1,3,25,4,1,3,4,2,31.3875,1,347077,0
263,0,1,229,1,1,52,1,1,79.65,1,110413,0
264,0,1,230,1,1,40,0,0,0,1,112059,0
265,0,3,231,3,2,23.157894736842106,0,0,7.75,3,382649,0
266,0,2,232,1,1,36,0,0,10.5,1,17248,0
267,0,3,49,1,1,16,4,1,39.6875,1,3101295,0
268,1,3,233,1,1,25,1,0,7.775,1,347083,0
269,1,1,234,2,2,58,0,1,153.4625,1,17582,1
270,1,1,235,3,2,35,0,0,135.6333,1,17760,0
271,0,1,236,1,1,43.84375,0,0,31,1,113798,0
272,1,3,237,1,1,25,0,0,0,1,0,0
273,1,2,238,2,2,41,0,1,19.5,1,250644,1
274,0,1,239,1,1,37,0,1,29.7,2,17596,0
275,1,3,240,3,2,23.157894736842106,0,0,7.75,3,370375,0
276,1,1,241,3,2,63,1,0,77.9583,1,13502,0
277,0,3,242,3,2,45,0,0,7.75,1,347073,0
278,0,2,243,1,1,31.412790697674417,0,0,0,1,239853,0
279,0,3,17,4,1,7,4,1,29.125,3,382652,0
280,1,3,244,2,2,35,1,1,20.25,1,2673,1
281,0,3,245,1,1,65,0,0,7.75,3,336439,0
282,0,3,246,1,1,28,0,0,7.8542,1,347464,0
283,0,3,247,1,1,16,0,0,9.5,1,345778,0
284,1,3,248,1,1,19,0,0,8.05,1,510482,0
285,0,1,156,1,1,43.84375,0,0,26,1,113056,0
286,0,3,249,1,1,33,0,0,8.6625,2,349239,0
287,1,3,250,1,1,30,0,0,9.5,1,345774,0
288,0,3,251,1,1,22,0,0,7.8958,1,349206,0
289,1,2,252,1,1,42,0,0,13,1,237798,0
290,1,3,253,3,2,22,0,0,7.75,3,370373,0
291,1,1,254,3,2,26,0,0,78.85,1,19877,0
292,1,1,255,2,2,19,1,0,91.0792,2,11967,1
293,0,2,256,1,1,36,0,0,12.875,2,2163,0
294,0,3,257,3,2,24,0,0,8.85,1,349236,0
295,0,3,258,1,1,24,0,0,7.8958,1,349233,0
296,0,1,259,1,1,39.75,0,0,27.7208,2,17612,0
297,0,3,260,1,1,23.5,0,0,7.2292,2,2693,0
298,0,1,261,3,2,2,1,2,151.55,1,113781,0
299,1,1,262,1,1,43.84375,0,0,30.5,1,19988,0
300,1,1,112,2,2,50,0,1,247.5208,2,17558,1
301,1,3,263,3,2,23.157894736842106,0,0,7.75,3,9234,0
302,1,3,264,1,1,32.7,2,0,23.25,3,367226,0
303,0,3,9,1,1,19,0,0,0,1,0,0
304,1,2,265,3,2,30,0,0,12.35,3,226593,0
305,0,3,18,1,1,28.425581395348836,0,0,8.05,1,52466,0
306,1,1,261,4,1,0.92,1,2,151.55,1,113781,0
307,1,1,266,3,2,36.77777777777778,0,0,110.8833,2,17421,0
308,1,1,267,2,2,17,1,0,108.9,2,17758,1
309,0,2,268,1,1,30,1,0,24,2,3381,0
310,1,1,269,3,2,30,0,0,56.9292,2,17485,0
311,1,1,270,3,2,24,0,0,83.1583,2,11767,0
312,1,1,271,3,2,18,2,2,262.375,2,17608,0
313,0,2,272,2,2,26,1,1,26,1,250651,1
314,0,3,273,1,1,28,0,0,7.8958,1,349243,0
315,0,2,274,1,1,43,1,1,26.25,1,13529,0
316,1,3,275,3,2,26,0,0,7.8542,1,347470,0
317,1,2,95,2,2,24,1,0,26,1,244367,1
318,0,2,276,7,1,54,0,0,14,1,29011,0
319,1,1,277,3,2,31,0,2,164.8667,1,36928,0
320,1,1,278,2,2,40,1,1,134.5,2,16966,1
321,0,3,279,1,1,22,0,0,7.25,1,521172,0
322,0,3,280,1,1,27,0,0,7.8958,1,349219,0
323,1,2,281,3,2,30,0,0,12.35,3,234818,0
324,1,2,75,2,2,22,1,1,29,1,248738,1
325,0,3,145,1,1,24.9,8,2,69.55,1,2343,0
326,1,1,282,3,2,36,0,0,135.6333,2,17760,0
327,0,3,283,1,1,61,0,0,6.2375,1,345364,0
328,1,2,284,2,2,36,0,0,13,1,28551,1
329,1,3,150,2,2,31,1,1,20.525,1,363291,1
330,1,1,285,3,2,16,0,1,57.9792,2,111361,0
331,1,3,264,3,2,23.157894736842106,2,0,23.25,3,367226,0
332,0,1,286,1,1,45.5,0,0,28.5,1,113043,0
333,0,1,234,1,1,38,0,1,153.4625,1,17582,0
334,0,3,19,1,1,16,2,0,18,1,345764,0
335,1,1,287,2,2,37,1,0,133.65,1,17611,1
336,0,3,288,1,1,28.425581395348836,0,0,7.8958,1,349225,0
337,0,1,138,1,1,29,1,0,66.6,1,113776,0
338,1,1,289,3,2,41,0,0,134.5,2,16966,0
339,1,3,290,1,1,45,0,0,8.05,1,7598,0
340,0,1,291,1,1,45,0,0,35.5,1,113784,0
341,1,2,135,4,1,2,1,1,26,1,230080,0
342,1,1,27,3,2,24,3,2,263,1,19950,0
343,0,2,292,1,1,28,0,0,13,1,248740,0
344,0,2,293,1,1,25,0,0,13,1,244361,0
345,0,2,294,1,1,36,0,0,13,1,229236,0
346,1,2,173,3,2,24,0,0,13,1,248733,0
347,1,2,156,3,2,40,0,0,13,1,31418,0
348,1,3,295,2,2,32.083333333333336,1,0,16.1,1,386525,1
349,1,3,296,4,1,3,1,1,15.9,1,37671,0
350,0,3,297,1,1,42,0,0,8.6625,1,315088,0
351,0,3,298,1,1,23,0,0,9.225,1,7267,0
352,0,1,299,1,1,43.84375,0,0,35,1,113510,0
353,0,3,300,1,1,15,1,1,7.2292,2,2695,0
354,0,3,48,1,1,25,1,0,17.8,1,349237,0
355,0,3,301,1,1,26.557692307692307,0,0,7.225,2,2647,0
356,0,3,302,1,1,28,0,0,9.5,1,345783,0
357,1,1,303,3,2,22,0,1,55,1,113505,0
358,0,2,304,3,2,38,0,0,13,1,237671,0
359,1,3,305,3,2,23.157894736842106,0,0,7.8792,3,330931,0
360,1,3,306,3,2,23.157894736842106,0,0,7.8792,3,330980,0
361,0,3,62,1,1,40,1,4,27.9,1,347088,0
362,0,2,307,1,1,29,1,0,27.7208,2,2167,0
363,0,3,308,2,2,45,0,1,14.4542,2,2691,1
364,0,3,309,1,1,35,0,0,7.05,1,3101310,0
365,0,3,166,1,1,32.7,1,0,15.5,3,370365,0
366,0,3,310,1,1,30,0,0,7.25,1,7076,0
367,1,1,311,2,2,60,1,0,75.25,2,110813,1
368,1,3,312,2,2,33.666666666666664,0,0,7.2292,2,2626,1
369,1,3,313,3,2,23.157894736842106,0,0,7.75,3,14313,0
370,1,1,314,8,2,24,0,0,69.3,2,17477,0
371,1,1,315,1,1,25,1,0,55.4417,2,11765,0
372,0,3,316,1,1,18,1,0,6.4958,1,3101267,0
373,0,3,317,1,1,19,0,0,8.05,1,323951,0
374,0,1,318,1,1,22,0,0,135.6333,2,17760,0
375,0,3,8,3,2,3,3,1,21.075,1,349909,0
376,1,1,34,2,2,37.23076923076923,1,0,82.1708,2,17604,1
377,1,3,319,3,2,22,0,0,7.25,1,7077,0
378,0,1,320,1,1,27,0,2,211.5,2,113503,0
379,0,3,321,1,1,20,0,0,4.0125,2,2648,0
380,0,3,100,1,1,19,0,0,7.775,1,347069,0
381,1,1,322,3,2,42,0,0,227.525,2,17757,0
382,1,3,323,3,2,1,0,2,15.7417,2,2653,1
383,0,3,324,1,1,32,0,0,7.925,1,23101293,0
384,1,1,35,2,2,35,1,0,52,1,113789,1
385,0,3,325,1,1,28.425581395348836,0,0,7.8958,1,349227,0
386,0,2,326,1,1,18,0,0,73.5,1,14879,0
387,0,3,58,4,1,1,5,2,46.9,1,2144,0
388,1,2,327,3,2,36,0,0,13,1,27849,0
389,0,3,328,1,1,32.7,0,0,7.7292,3,367655,0
390,1,2,329,3,2,17,0,0,12,2,1748,0
391,1,1,219,1,1,36,1,2,120,1,113760,0
392,1,3,330,1,1,21,0,0,7.7958,1,350034,0
393,0,3,100,1,1,28,2,0,7.925,1,3101277,0
394,1,1,191,3,2,23,1,0,113.275,2,35273,0
395,1,3,11,2,2,24,0,2,16.7,1,9549,1
396,0,3,99,1,1,22,0,0,7.7958,1,350052,0
397,0,3,246,3,2,31,0,0,7.8542,1,350407,0
398,0,2,331,1,1,46,0,0,26,1,28403,0
399,0,2,332,7,1,23,0,0,10.5,1,244278,0
400,1,2,333,2,2,28,0,0,12.65,1,240929,1
401,1,3,334,1,1,39,0,0,7.925,1,23101289,0
402,0,3,335,1,1,26,0,0,8.05,1,341826,0
403,0,3,108,3,2,21,1,0,9.825,1,4137,0
404,0,3,131,1,1,28,1,0,15.85,1,23101279,0
405,0,3,336,3,2,20,0,0,8.6625,1,315096,0
406,0,2,337,1,1,34,1,0,21,1,28664,0
407,0,3,338,1,1,51,0,0,7.75,1,347064,0
408,1,2,339,4,1,3,1,1,18.75,1,29106,0
409,0,3,340,1,1,21,0,0,7.775,1,312992,0
410,0,3,158,3,2,5.5,3,1,25.4667,1,4133,0
411,0,3,341,1,1,28.425581395348836,0,0,7.8958,1,349222,0
412,0,3,274,1,1,32.7,0,0,6.8583,3,394140,0
413,1,1,215,3,2,33,1,0,90,3,19928,0
414,0,2,342,1,1,31.412790697674417,0,0,0,1,239853,0
415,1,3,343,1,1,44,0,0,7.925,1,23101269,0
416,0,3,344,2,2,47,0,0,8.05,1,343095,1
417,1,2,345,2,2,34,1,1,32.5,1,28220,1
418,1,2,346,3,2,18,0,2,13,1,250652,0
419,0,2,347,1,1,30,0,0,13,1,28228,0
420,0,3,348,3,2,10,0,2,24.15,1,345773,0
421,0,3,349,1,1,26.557692307692307,0,0,7.8958,2,349254,0
422,0,3,350,1,1,21,0,0,7.7333,3,513032,0
423,0,3,351,1,1,29,0,0,7.875,1,315082,0
424,0,3,352,2,2,28,1,1,14.4,1,347080,1
425,0,3,223,1,1,18,1,1,20.2125,1,370129,0
426,0,3,353,1,1,28.425581395348836,0,0,7.25,1,434244,0
427,1,2,354,2,2,28,1,0,26,1,2003,1
428,1,2,355,3,2,19,0,0,26,1,250655,1
429,0,3,356,1,1,32.7,0,0,7.75,3,364851,0
430,1,3,357,1,1,32,0,0,8.05,1,392078,1
431,1,1,358,1,1,28,0,0,26.55,1,110564,0
432,1,3,359,2,2,32.083333333333336,1,0,16.1,1,376564,1
433,1,2,360,2,2,42,1,0,26,1,3085,1
434,0,3,361,1,1,17,0,0,7.125,1,23101274,0
435,0,1,362,1,1,50,1,0,55.9,1,13507,0
436,1,1,219,3,2,14,1,2,120,1,113760,0
437,0,3,83,3,2,21,2,2,34.375,1,6608,0
438,1,2,339,2,2,24,2,3,18.75,1,29106,1
439,0,1,27,1,1,64,1,4,263,1,19950,0
440,0,2,363,1,1,31,0,0,10.5,1,18723,0
441,1,2,274,2,2,45,1,1,26.25,1,13529,1
442,0,3,364,1,1,20,0,0,9.5,1,345769,0
443,0,3,365,1,1,25,1,0,7.775,1,347076,0
444,1,2,366,9,2,28,0,0,13,1,230434,0
445,1,3,367,1,1,28.425581395348836,0,0,8.1125,1,65306,0
446,1,1,368,4,1,4,0,2,81.8583,1,33638,0
447,1,2,238,3,2,13,0,1,19.5,1,250644,0
448,1,1,369,1,1,34,0,0,26.55,1,113794,0
449,1,3,370,3,2,5,2,1,19.2583,2,2666,0
450,1,1,371,10,1,52,0,0,30.5,1,113786,0
451,0,2,57,1,1,36,1,2,27.75,1,34651,0
452,0,3,372,1,1,27.083333333333332,1,0,19.9667,1,65303,0
453,0,1,373,1,1,30,0,0,27.75,2,113051,0
454,1,1,374,1,1,49,1,0,89.1042,2,17453,0
455,0,3,375,1,1,28.425581395348836,0,0,8.05,1,52817,0
456,1,3,376,1,1,29,0,0,7.8958,2,349240,0
457,0,1,377,1,1,65,0,0,26.55,1,13509,0
458,1,1,378,2,2,37,1,0,51.8625,1,17464,1
459,1,2,379,3,2,50,0,0,10.5,1,13531,0
460,0,3,380,1,1,32.7,0,0,7.75,3,371060,0
461,1,1,381,1,1,48,0,0,26.55,1,19952,0
462,0,3,382,1,1,34,0,0,8.05,1,364506,0
463,0,1,383,1,1,47,0,0,38.5,1,111320,0
464,0,2,384,1,1,48,0,0,13,1,234360,0
